Date,Close/Last,Volume,Open,High,Low
09/06/2023,$107.90,7986453,$107.19,$108.88,$107.07
09/05/2023,$108.24,17225470,$108.40,$109.06,$107.44
09/01/2023,$104.49,4593553,$107.20,$107.36,$104.17
08/31/2023,$106.37,3984779,$105.50,$107.04,$105.23
08/30/2023,$104.89,2919269,$104.44,$105.28,$103.62
08/29/2023,$104.30,3323716,$100.80,$104.60,$100.80
08/28/2023,$100.88,2251647,$100.37,$101.57,$100.2095
08/25/2023,$99.66,1742783,$99.45,$100.15,$98.30
08/24/2023,$99.02,2135872,$100.00,$101.06,$98.56
08/23/2023,$99.70,1796628,$98.67,$99.88,$98.01
08/22/2023,$98.26,1972317,$99.20,$99.34,$97.94
08/21/2023,$98.79,2282998,$99.25,$99.87,$98.36
08/18/2023,$98.72,3063732,$95.70,$99.12,$95.18
08/17/2023,$96.80,1649776,$97.11,$97.89,$96.18
08/16/2023,$96.90,2108232,$97.24,$98.08,$96.83
08/15/2023,$97.47,2015526,$96.98,$97.825,$96.5025
08/14/2023,$98.04,4290767,$98.10,$99.04,$97.25
08/11/2023,$98.37,3713137,$98.62,$100.12,$98.15
08/10/2023,$100.20,4317634,$101.05,$102.3593,$99.3965
08/09/2023,$100.09,4689764,$103.41,$103.545,$99.97
08/08/2023,$103.77,2632043,$102.53,$104.2599,$101.67
08/07/2023,$103.93,2093524,$103.19,$104.1799,$103.00
08/04/2023,$102.73,2972126,$103.18,$104.48,$102.23
08/03/2023,$102.61,4667237,$101.87,$102.96,$100.94
08/02/2023,$102.89,3614268,$103.80,$104.4737,$102.54
08/01/2023,$106.08,4242719,$104.40,$106.58,$104.11
07/31/2023,$104.79,2631876,$104.98,$105.28,$104.06
07/28/2023,$105.05,3679673,$103.48,$105.59,$103.45
07/27/2023,$103.28,3388256,$105.41,$106.60,$103.155
07/26/2023,$104.71,3588690,$103.95,$105.37,$102.86
07/25/2023,$104.40,1907946,$105.00,$105.73,$104.34
07/24/2023,$105.13,3026054,$105.255,$106.33,$104.25
07/21/2023,$104.89,4490836,$107.28,$107.69,$104.38
